Path: /HepData/8832/d63-x1-y1
Average kaons v2 as a function of pT for centrality: 20-40%
Location: Figure 12
ABS(Y(RF=LAB)) : <0.5
Centrality : 20-40%
Particle : Average kaons
Range : 0.3 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.529433	0.529433	0.529433	0.0402888	+7.18872E-4	-7.18872E-4	-0.00447604	+0.00229168
	0.712134	0.712134	0.712134	0.0644746	+6.94045E-4	-6.94045E-4	-0.00258939	+0.00293166
	0.903372	0.903372	0.903372	0.089533	+8.25338E-4	-8.25338E-4	-0.0010373	+0.00597071
	1.09945	1.09945	1.09945	0.11345	+8.28532E-4	-8.28532E-4	-9.51875E-4	+0.00740345
	1.29685	1.29685	1.29685	0.136513	+8.84124E-4	-8.84124E-4	-8.62823E-4	+0.00703998
	1.49586	1.49586	1.49586	0.15518	+9.81019E-4	-9.81019E-4	-8.40494E-4	+0.00689846
	1.69489	1.69489	1.69489	0.167695	+0.00114125	-0.00114125	-9.67455E-4	+0.0102409
	1.89459	1.89459	1.89459	0.181818	+0.00132165	-0.00132165	-9.62174E-4	+0.00908489
	2.0941	2.0941	2.0941	0.190256	+0.00156072	-0.00156072	-0.001123	+0.0106322
	2.29413	2.29413	2.29413	0.197086	+0.00185043	-0.00185043	-0.00126736	+0.0102854
	2.57697	2.57697	2.57697	0.203876	+0.00175275	-0.00175275	-0.00107031	+0.0113789
	2.97741	2.97741	2.97741	0.202755	+0.00254292	-0.00254292	-9.70274E-4	+0.0146436
	3.37648	3.37648	3.37648	0.199753	+0.00348295	-0.00348295	-0.00139387	+0.0151165
	3.78105	3.78105	3.78105	0.184192	+0.00469934	-0.00469934	-0.00285878	+0.0245147
	4.39749	4.39749	4.39749	0.163729	+0.00503601	-0.00503601	-7.1504E-4	+7.1504E-4
	5.41081	5.41081	5.41081	0.139727	+0.00873159	-0.00873159	-7.17499E-4	+7.17499E-4
	6.74443	6.74443	6.74443	0.10067	+0.0108041	-0.0108041	-7.15572E-4	+7.15572E-4
	8.81796	8.81796	8.81796	0.117881	+0.0223078	-0.0223078	-7.25987E-4	+7.25987E-4
	10.7821	10.7821	10.7821	0.0936302	+0.0380308	-0.0380308	-7.22115E-4	+7.22115E-4

