Path: /HepData/8832/d5-x1-y1
Charged pions v2 as a function of pT for centrality: 30-40%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 30-40%
Particle : Charged pions
Range : 0.2 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.175078	0.175078	0.175078	0.024062	+1.42E-4	-1.42E-4	-0.002061	+0.002061
	0.251634	0.251634	0.251634	0.033494	+1.16E-4	-1.16E-4	-0.002116	+0.002116
	0.348765	0.348765	0.348765	0.050927	+1.16E-4	-1.16E-4	-0.002259	+0.002259
	0.448264	0.448264	0.448264	0.068467	+1.43E-4	-1.43E-4	-0.002542	+0.002542
	0.548055	0.548055	0.548055	0.084622	+1.97E-4	-1.97E-4	-0.002787	+0.002787
	0.647946	0.647946	0.647946	0.099859	+2.25E-4	-2.25E-4	-0.003039	+0.003039
	0.746961	0.746961	0.746961	0.114228	+2.39E-4	-2.39E-4	-0.003291	+0.003291
	0.847053	0.847053	0.847053	0.127602	+2.75E-4	-2.75E-4	-0.003542	+0.003542
	0.947454	0.947454	0.947454	0.140218	+2.97E-4	-2.97E-4	-0.003785	+0.003785
	1.04787	1.04787	1.04787	0.151549	+3.47E-4	-3.47E-4	-0.004005	+0.004005
	1.14826	1.14826	1.14826	0.161279	+3.75E-4	-3.75E-4	-0.004208	+0.004208
	1.24714	1.24714	1.24714	0.172051	+4.38E-4	-4.38E-4	-0.004415	+0.004415
	1.34808	1.34808	1.34808	0.179937	+4.74E-4	-4.74E-4	-0.004582	+0.004582
	1.44829	1.44829	1.44829	0.188018	+5.55E-4	-5.55E-4	-0.00474	+0.00474
	1.54823	1.54823	1.54823	0.195705	+6.01E-4	-6.01E-4	-0.004903	+0.004903
	1.64834	1.64834	1.64834	0.200809	+7.09E-4	-7.09E-4	-0.005004	+0.005004
	1.74819	1.74819	1.74819	0.206303	+7.67E-4	-7.67E-4	-0.00514	+0.00514
	1.84852	1.84852	1.84852	0.20976	+9.04E-4	-9.04E-4	-0.005197	+0.005197
	1.94853	1.94853	1.94853	0.214146	+9.78E-4	-9.78E-4	-0.005305	+0.005305
	2.04843	2.04843	2.04843	0.217759	+0.001154	-0.001154	-0.005369	+0.005369
	2.1484	2.1484	2.1484	0.218276	+0.001245	-0.001245	-0.005418	+0.005418
	2.2482	2.2482	2.2482	0.222807	+0.001462	-0.001462	-0.005459	+0.005459
	2.34834	2.34834	2.34834	0.220708	+0.001572	-0.001572	-0.00573	+0.00573
	2.44839	2.44839	2.44839	0.223952	+0.001827	-0.001827	-0.005792	+0.005792
	2.54836	2.54836	2.54836	0.223236	+0.001957	-0.001957	-0.005961	+0.005961
	2.64846	2.64846	2.64846	0.22325	+0.002259	-0.002259	-0.007066	+0.007066
	2.7482	2.7482	2.7482	0.223069	+0.002409	-0.002409	-0.008886	+0.008886
	2.84847	2.84847	2.84847	0.215751	+0.002771	-0.002771	-0.010869	+0.010869
	2.94848	2.94848	2.94848	0.218194	+0.002933	-0.002933	-0.013108	+0.013108
	3.09415	3.09415	3.09415	0.210696	+0.00216	-0.00216	-0.014041	+0.014041
	3.29425	3.29425	3.29425	0.209079	+0.002577	-0.002577	-0.013853	+0.013853
	3.49472	3.49472	3.49472	0.204512	+0.003059	-0.003059	-0.01357	+0.01357
	3.69483	3.69483	3.69483	0.192916	+0.003569	-0.003569	-0.013095	+0.013095
	3.89512	3.89512	3.89512	0.183864	+0.004113	-0.004113	-0.012399	+0.012399
	4.1828	4.1828	4.1828	0.175067	+0.003601	-0.003601	-0.012128	+0.012128
	4.58469	4.58469	4.58469	0.164164	+0.004595	-0.004595	-0.011555	+0.011555
	4.98591	4.98591	4.98591	0.156958	+0.005817	-0.005817	-0.011009	+0.011009
	5.38602	5.38602	5.38602	0.142453	+0.007148	-0.007148	-0.01016	+0.01016
	5.78815	5.78815	5.78815	0.142706	+0.008613	-0.008613	-0.010301	+0.010301

