Path: /HepData/8832/d16-x1-y1
K0s v2 as a function of pT for centrality: 5-10%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 5-10%
Particle : K0s
Range : 0.4 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.530288	0.530288	0.530288	0.01645	+0.003996	-0.003996	-0.005	+0.001
	0.71292	0.71292	0.71292	0.027406	+0.001936	-0.001936	-0.003	+0.001
	0.903951	0.903951	0.903951	0.040829	+0.001484	-0.001484	-0.001	+0.001
	1.09973	1.09973	1.09973	0.051812	+0.001351	-0.001351	-0.001	+0.001
	1.29724	1.29724	1.29724	0.063916	+0.00144	-0.00144	-0.001	+0.001
	1.49569	1.49569	1.49569	0.073323	+0.001591	-0.001591	-0.001	+0.001
	1.69467	1.69467	1.69467	0.080812	+0.001815	-0.001815	-0.001	+0.001
	1.89406	1.89406	1.89406	0.089938	+0.002168	-0.002168	-0.001	+0.001
	2.0937	2.0937	2.0937	0.094687	+0.00268	-0.00268	-0.001	+0.001
	2.29359	2.29359	2.29359	0.100086	+0.003196	-0.003196	-0.001	+0.001
	2.57393	2.57393	2.57393	0.103096	+0.00301	-0.00301	-0.001	+0.001
	2.97415	2.97415	2.97415	0.100392	+0.004569	-0.004569	-0.001	+0.001
	3.37668	3.37668	3.37668	0.111796	+0.006545	-0.006545	-0.001	+0.001
	3.77754	3.77754	3.77754	0.084682	+0.009243	-0.009243	-0.001	+0.001
	4.38647	4.38647	4.38647	0.090314	+0.009413	-0.009413	-0.001	+0.001
	5.40956	5.40956	5.40956	0.084117	+0.017348	-0.017348	-0.001	+0.001
	6.73731	6.73731	6.73731	0.060876	+0.019418	-0.019418	-0.001	+0.001
	8.80716	8.80716	8.80716	0.004154	+0.040924	-0.040924	-0.001	+0.001
	10.8296	10.8296	10.8296	0.139307	+0.07041	-0.07041	-0.001	+0.001

