#: table_doi: 10.17182/hepdata.63400.v1/t2
#: name: Table 2
#: description: The histogram represents the reference spectrum (cross section scaled by the nuclear overlap function, T(pPb)) in inelastic pp collisions, determined in |eta(cms)| < 0.8.

#: data_file: Table2.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5020.0
#: RE,,,P P --> CHARGED X
#: ETARAP(RF=CM),,,-0.8-0.8
#: MEAN(T(pPb)) [MB**-1],,,0.0983 +- 0.0035
#: SQRT(S) [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','MEAN(T(pPb))/(2*PI*PT)*D2(SIG)/DPT/DETARAP [GEV**-2]','stat +','stat -','sys +','sys -','sys,overall normalization uncertainty +','sys,overall normalization uncertainty -','sys,remaining normalization uncertainty if divided by MEAN(T(pPb)) +','sys,remaining normalization uncertainty if divided by MEAN(T(pPb)) -'
0.175,0.15,0.2,43.09,0.021,-0.021,3.4,-3.4,'5.1%','-5.1%','3.6%','-3.6%'
0.225,0.2,0.25,34.29,0.011,-0.011,2.2,-2.2,'5.1%','-5.1%','3.6%','-3.6%'
0.275,0.25,0.3,26.63,0.008,-0.008,1.9,-1.9,'5.1%','-5.1%','3.6%','-3.6%'
0.32499999999999996,0.3,0.35,20.55,0.006,-0.006,1.5,-1.5,'5.1%','-5.1%','3.6%','-3.6%'
0.375,0.35,0.4,15.88,0.005,-0.005,1.2,-1.2,'5.1%','-5.1%','3.6%','-3.6%'
0.42500000000000004,0.4,0.45,12.37,0.004,-0.004,1.0,-1.0,'5.1%','-5.1%','3.6%','-3.6%'
0.475,0.45,0.5,9.692,0.0031,-0.0031,0.79,-0.79,'5.1%','-5.1%','3.6%','-3.6%'
0.525,0.5,0.55,7.669,0.0026,-0.0026,0.61,-0.61,'5.1%','-5.1%','3.6%','-3.6%'
0.575,0.55,0.6,6.119,0.0022,-0.0022,0.47,-0.47,'5.1%','-5.1%','3.6%','-3.6%'
0.625,0.6,0.65,4.924,0.0019,-0.0019,0.36,-0.36,'5.1%','-5.1%','3.6%','-3.6%'
0.675,0.65,0.7,3.994,0.0016,-0.0016,0.29,-0.29,'5.1%','-5.1%','3.6%','-3.6%'
0.725,0.7,0.75,3.261,0.0014,-0.0014,0.24,-0.24,'5.1%','-5.1%','3.6%','-3.6%'
0.775,0.75,0.8,2.681,0.0013,-0.0013,0.2,-0.2,'5.1%','-5.1%','3.6%','-3.6%'
0.825,0.8,0.85,2.213,0.0011,-0.0011,0.16,-0.16,'5.1%','-5.1%','3.6%','-3.6%'
0.875,0.85,0.9,1.845,0.001,-0.001,0.14,-0.14,'5.1%','-5.1%','3.6%','-3.6%'
0.925,0.9,0.95,1.545,0.0009,-0.0009,0.11,-0.11,'5.1%','-5.1%','3.6%','-3.6%'
0.975,0.95,1.0,1.3,0.0008,-0.0008,0.096,-0.096,'5.1%','-5.1%','3.6%','-3.6%'
1.05,1.0,1.1,1.008,0.0004,-0.0004,0.074,-0.074,'5.1%','-5.1%','3.6%','-3.6%'
1.15,1.1,1.2,0.7307,0.0003,-0.0003,0.054,-0.054,'5.1%','-5.1%','3.6%','-3.6%'
1.25,1.2,1.3,0.5386,0.00027,-0.00027,0.04,-0.04,'5.1%','-5.1%','3.6%','-3.6%'
1.35,1.3,1.4,0.4004,0.00021,-0.00021,0.03,-0.03,'5.1%','-5.1%','3.6%','-3.6%'
1.45,1.4,1.5,0.3007,0.00019,-0.00019,0.022,-0.022,'5.1%','-5.1%','3.6%','-3.6%'
1.55,1.5,1.6,0.2272,0.00015,-0.00015,0.017,-0.017,'5.1%','-5.1%','3.6%','-3.6%'
1.65,1.6,1.7,0.174,0.00014,-0.00014,0.013,-0.013,'5.1%','-5.1%','3.6%','-3.6%'
1.75,1.7,1.8,0.1347,0.00011,-0.00011,0.0099,-0.0099,'5.1%','-5.1%','3.6%','-3.6%'
