#: table_doi: 10.17182/hepdata.63400.v1/t3
#: name: Table 3
#: description: The ratio of spectra in p-Pb at backward pseudorapidities to that at |eta(cms)| < 0.3.

#: data_file: Table3.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: RATIO
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: ETARAP(Q=-03-0.3,RF=CM),,,-0.3-0.3
#: ETARAP(Q=-08--0.3,RF=CM),,,-0.8--0.3
#: ETARAP(Q=-13--0.8,RF=CM),,,-1.3--0.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: RE,,,P PB --> CHARGED X
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','N(Q=-0.8--0.3)/N(Q=-0.3-0.3)','stat +','stat -','sys +','sys -'
0.175,0.15,0.2,1.083,0.0006,-0.0006,0.041,-0.041
0.225,0.2,0.25,1.055,0.0003,-0.0003,0.0085,-0.0085
0.275,0.25,0.3,1.047,0.0003,-0.0003,0.012,-0.012
0.32499999999999996,0.3,0.35,1.045,0.0003,-0.0003,0.013,-0.013
0.375,0.35,0.4,1.039,0.0003,-0.0003,0.011,-0.011
0.42500000000000004,0.4,0.45,1.041,0.0003,-0.0003,0.0091,-0.0091
0.475,0.45,0.5,1.044,0.0003,-0.0003,0.0089,-0.0089
0.525,0.5,0.55,1.04,0.0003,-0.0003,0.012,-0.012
0.575,0.55,0.6,1.04,0.0004,-0.0004,0.017,-0.017
0.625,0.6,0.65,1.038,0.0004,-0.0004,0.018,-0.018
0.675,0.65,0.7,1.039,0.0004,-0.0004,0.014,-0.014
0.725,0.7,0.75,1.039,0.0004,-0.0004,0.0096,-0.0096
0.775,0.75,0.8,1.039,0.0005,-0.0005,0.011,-0.011
0.825,0.8,0.85,1.04,0.0005,-0.0005,0.012,-0.012
0.875,0.85,0.9,1.04,0.0006,-0.0006,0.011,-0.011
0.925,0.9,0.95,1.038,0.0006,-0.0006,0.0096,-0.0096
0.975,0.95,1.0,1.041,0.0007,-0.0007,0.0096,-0.0096
1.05,1.0,1.1,1.035,0.0005,-0.0005,0.0096,-0.0096
1.15,1.1,1.2,1.037,0.0006,-0.0006,0.0094,-0.0094
1.25,1.2,1.3,1.036,0.0007,-0.0007,0.011,-0.011
1.35,1.3,1.4,1.035,0.0008,-0.0008,0.011,-0.011
1.45,1.4,1.5,1.036,0.0009,-0.0009,0.0087,-0.0087
1.55,1.5,1.6,1.036,0.001,-0.001,0.0085,-0.0085
1.65,1.6,1.7,1.036,0.0011,-0.0011,0.0095,-0.0095
1.75,1.7,1.8,1.034,0.0012,-0.0012,0.0095,-0.0095
1.85,1.8,1.9,1.033,0.0013,-0.0013,0.0085,-0.0085
1.95,1.9,2.0,1.027,0.0014,-0.0014,0.0075,-0.0075
2.1,2.0,2.2,1.025,0.0011,-0.0011,0.0072,-0.0072
2.3,2.2,2.4,1.023,0.0013,-0.0013,0.0074,-0.0074
2.5,2.4,2.6,1.022,0.0016,-0.0016,0.007,-0.007
2.7,2.6,2.8,1.019,0.0018,-0.0018,0.0072,-0.0072
2.9,2.8,3.0,1.016,0.0021,-0.0021,0.008,-0.008
3.1,3.0,3.2,1.015,0.0024,-0.0024,0.0069,-0.0069
3.3,3.2,3.4,1.014,0.0027,-0.0027,0.0072,-0.0072
3.5,3.4,3.6,1.01,0.0031,-0.0031,0.0071,-0.0071
3.7,3.6,3.8,1.009,0.0035,-0.0035,0.007,-0.007
3.9,3.8,4.0,1.009,0.0039,-0.0039,0.0079,-0.0079
4.25,4.0,4.5,1.0,0.003,-0.003,0.0063,-0.0063
4.75,4.5,5.0,1.001,0.0039,-0.0039,0.0074,-0.0074
5.25,5.0,5.5,0.9884,0.0049,-0.0049,0.0073,-0.0073
5.75,5.5,6.0,0.9851,0.0061,-0.0061,0.0069,-0.0069
6.25,6.0,6.5,0.9797,0.0075,-0.0075,0.007,-0.007
6.75,6.5,7.0,0.9936,0.0092,-0.0092,0.011,-0.011
7.5,7.0,8.0,0.9837,0.0084,-0.0084,0.0084,-0.0084
8.5,8.0,9.0,0.9765,0.012,-0.012,0.011,-0.011
9.5,9.0,10.0,0.9718,0.015,-0.015,0.014,-0.014
10.5,10.0,11.0,0.9781,0.014,-0.014,0.011,-0.011
11.5,11.0,12.0,0.9821,0.017,-0.017,0.013,-0.013
12.5,12.0,13.0,1.016,0.02,-0.02,0.017,-0.017
13.5,13.0,14.0,1.008,0.023,-0.023,0.019,-0.019
14.5,14.0,15.0,0.9944,0.027,-0.027,0.018,-0.018
15.5,15.0,16.0,0.9988,0.032,-0.032,0.02,-0.02
17.0,16.0,18.0,0.9981,0.028,-0.028,0.027,-0.027
19.0,18.0,20.0,0.9918,0.038,-0.038,0.016,-0.016
21.0,20.0,22.0,0.9786,0.048,-0.048,0.013,-0.013
23.0,22.0,24.0,1.026,0.06,-0.06,0.022,-0.022
26.0,24.0,28.0,1.009,0.059,-0.059,0.021,-0.021
30.0,28.0,32.0,1.049,0.09,-0.09,0.022,-0.022
36.0,32.0,40.0,0.9406,0.087,-0.087,0.02,-0.02
45.0,40.0,50.0,1.191,0.17,-0.17,0.025,-0.025

#: ETARAP(Q=-03-0.3,RF=CM),,,-0.3-0.3
#: ETARAP(Q=-08--0.3,RF=CM),,,-0.8--0.3
#: ETARAP(Q=-13--0.8,RF=CM),,,-1.3--0.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: RE,,,P PB --> CHARGED X
