%: table_doi: 10.17182/hepdata.72720.v1/t10
%: name: Table 10
%: description: $p_{\rm T}$-differential yield of $\phi$ in p-Pb collisions with centre-of-mass energy/nucleon=5.02 TeV (5-10% multiplicity class).

%: data_file: Table10.yaml
%: keyword reactions: P PB --> PHI X
%: keyword observables: DN/DPT/DYRAP
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence
%: keyword cmenergies: 5020.0
%: RE			P PB --> PHI X
%: class [pct]			5.0-10.0
%: YRAP(C=CM)			-0.5-0.0
%: SQRT(S)/NUCLEON [GeV]			5020.0
%'$p_{\rm T}$ [GeV]'	'$p_{\rm T}$ [GeV] LOW'	'$p_{\rm T}$ [GeV] HIGH'	'(1/N$_{\rm ev}$)*d$^{2}N$/(d$p_{\rm T}$d$y$) [GeV$^{-1}$]'	'stat +'	'stat -'	'sys +'	'sys -'
0.5	0.4	0.6	0.125	0.01	-0.01	0.009	-0.009
0.7	0.6	0.8	0.1457	0.0055	-0.0055	0.0128	-0.0128
0.9	0.8	1.0	0.1492	0.0039	-0.0039	0.013	-0.013
1.1	1.0	1.2	0.1499	0.0036	-0.0036	0.0121	-0.0121
1.2999999999999998	1.2	1.4	0.134	0.0037	-0.0037	0.0096	-0.0096
1.5	1.4	1.6	0.1147	0.0038	-0.0038	0.0082	-0.0082
1.7000000000000002	1.6	1.8	0.0968	0.0036	-0.0036	0.0069	-0.0069
1.9	1.8	2.0	0.0779	0.0031	-0.0031	0.0056	-0.0056
2.25	2.0	2.5	0.0562	0.0014	-0.0014	0.004	-0.004
2.75	2.5	3.0	0.0293	0.00081	-0.00081	0.00203	-0.00203
3.25	3.0	3.5	0.01667	0.0008	-0.0008	0.00121	-0.00121
3.75	3.5	4.0	0.00898	0.00053	-0.00053	0.00063	-0.00063
4.25	4.0	4.5	0.00563	0.00037	-0.00037	0.00044	-0.00044
4.75	4.5	5.0	0.00311	0.00026	-0.00026	0.00022	-0.00022
5.5	5.0	6.0	0.00151	0.00011	-0.00011	0.00011	-0.00011
6.5	6.0	7.0	0.000618	6.7e-05	-6.7e-05	4.5e-05	-4.5e-05
7.5	7.0	8.0	0.0003	3.8e-05	-3.8e-05	2.2e-05	-2.2e-05
9.0	8.0	10.0	0.000119	1.7e-05	-1.7e-05	9.3e-06	-9.3e-06
11.5	10.0	13.0	2.75e-05	6.3e-06	-6.3e-06	2.1e-06	-2.1e-06
14.5	13.0	16.0	6.7e-06	2.9e-06	-2.9e-06	7.1e-07	-7.1e-07

