#: table_doi: 10.17182/hepdata.73749.v1/t7
#: name: Table 7
#: description: pT-differential invariant yield of charged pions in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table7.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (PI+ + PI-) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.11,0.1,0.12,10.92,0.02,-0.02,0.79,-0.79
0.13,0.12,0.14,9.762,0.017,-0.017,0.47,-0.47
0.15000000000000002,0.14,0.16,8.764,0.015,-0.015,0.413,-0.413
0.16999999999999998,0.16,0.18,7.812,0.013,-0.013,0.365,-0.365
0.19,0.18,0.2,6.914,0.012,-0.012,0.324,-0.324
0.225,0.2,0.25,5.516,0.006,-0.006,0.258,-0.258
0.275,0.25,0.3,4.065,0.005,-0.005,0.177,-0.177
0.32499999999999996,0.3,0.35,3.004,0.003,-0.003,0.092,-0.092
0.375,0.35,0.4,2.248,0.003,-0.003,0.068,-0.068
0.42500000000000004,0.4,0.45,1.7,0.002,-0.002,0.05,-0.05
0.475,0.45,0.5,1.295,0.002,-0.002,0.039,-0.039
0.525,0.5,0.55,0.9997,0.0016,-0.0016,0.0298,-0.0298
0.575,0.55,0.6,0.7777,0.0013,-0.0013,0.024,-0.024
0.625,0.6,0.65,0.6309,0.0021,-0.0021,0.0307,-0.0307
0.675,0.65,0.7,0.498,0.0018,-0.0018,0.0242,-0.0242
0.725,0.7,0.75,0.3973,0.0015,-0.0015,0.0194,-0.0194
0.775,0.75,0.8,0.3204,0.0013,-0.0013,0.0156,-0.0156
0.825,0.8,0.85,0.2598,0.0012,-0.0012,0.0127,-0.0127
0.875,0.85,0.9,0.2126,0.001,-0.001,0.0104,-0.0104
0.925,0.9,0.95,0.1746,0.0009,-0.0009,0.0085,-0.0085
0.975,0.95,1.0,0.1441,0.0008,-0.0008,0.007,-0.007
1.05,1.0,1.1,0.1092,0.0004,-0.0004,0.0053,-0.0053
1.15,1.1,1.2,0.07677,0.00034,-0.00034,0.00375,-0.00375
1.25,1.2,1.3,0.05507,0.00028,-0.00028,0.00271,-0.00271
1.35,1.3,1.4,0.04011,0.00022,-0.00022,0.00198,-0.00198
1.45,1.4,1.5,0.0297,0.00018,-0.00018,0.00148,-0.00148
1.55,1.5,1.6,0.02209,0.00011,-0.00011,0.00108,-0.00108
1.65,1.6,1.7,0.01678,0.0001,-0.0001,0.00083,-0.00083
1.75,1.7,1.8,0.01284,8e-05,-8e-05,0.00065,-0.00065
1.85,1.8,1.9,0.009903,6.6e-05,-6.6e-05,0.000515,-0.000515
1.95,1.9,2.0,0.007683,5.3e-05,-5.3e-05,0.00041,-0.00041
2.1,2.0,2.2,0.005328,2.9e-05,-2.9e-05,0.000284,-0.000284
2.3,2.2,2.4,0.003389,2.2e-05,-2.2e-05,0.000192,-0.000192
2.5,2.4,2.6,0.002188,1.9e-05,-1.9e-05,0.000142,-0.000142
2.7,2.6,2.8,0.001433,1.7e-05,-1.7e-05,0.000104,-0.000104
2.9,2.8,3.0,0.0009914,1.33e-05,-1.33e-05,7.52e-05,-7.52e-05
3.1,3.0,3.2,0.0006731,6.7e-06,-6.7e-06,5.48e-05,-5.48e-05
3.3,3.2,3.4,0.0004731,5.8e-06,-5.8e-06,3.86e-05,-3.86e-05
3.5,3.4,3.6,0.0003393,4e-06,-4e-06,2.76e-05,-2.76e-05
3.7,3.6,3.8,0.0002463,2.9e-06,-2.9e-06,2.01e-05,-2.01e-05
3.9,3.8,4.0,0.0001822,2.2e-06,-2.2e-06,1.48e-05,-1.48e-05
4.25,4.0,4.5,0.00011,6e-07,-6e-07,9e-06,-9e-06
4.75,4.5,5.0,5.674e-05,3.3e-07,-3.3e-07,4.63e-06,-4.63e-06
5.25,5.0,5.5,3.115e-05,1.9e-07,-1.9e-07,2.55e-06,-2.55e-06
5.75,5.5,6.0,1.805e-05,1.2e-07,-1.2e-07,1.48e-06,-1.48e-06
6.25,6.0,6.5,1.084e-05,8e-08,-8e-08,9e-07,-9e-07
