#: table_doi: 10.17182/hepdata.73749.v1/t8
#: name: Table 8
#: description: pT-differential invariant yield of charged kaons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table8.yaml
#: keyword reactions: P P --> K+ X | P P --> K- X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Strange Production
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (K+ + K-) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.225,0.2,0.25,0.3634,0.003,-0.003,0.0334,-0.0334
0.275,0.25,0.3,0.3234,0.0021,-0.0021,0.0215,-0.0215
0.32499999999999996,0.3,0.35,0.2878,0.0015,-0.0015,0.0116,-0.0116
0.375,0.35,0.4,0.2491,0.0013,-0.0013,0.0087,-0.0087
0.42500000000000004,0.4,0.45,0.2162,0.0011,-0.0011,0.009,-0.009
0.475,0.45,0.5,0.1896,0.0009,-0.0009,0.0083,-0.0083
0.525,0.5,0.55,0.1624,0.0009,-0.0009,0.0074,-0.0074
0.575,0.55,0.6,0.1378,0.0013,-0.0013,0.0093,-0.0093
0.625,0.6,0.65,0.1177,0.0011,-0.0011,0.0084,-0.0084
0.675,0.65,0.7,0.09992,0.00094,-0.00094,0.00715,-0.00715
0.725,0.7,0.75,0.0852,0.00086,-0.00086,0.0061,-0.0061
0.775,0.75,0.8,0.0726,0.00065,-0.00065,0.00522,-0.00522
0.825,0.8,0.85,0.06185,0.00058,-0.00058,0.00445,-0.00445
0.875,0.85,0.9,0.05296,0.00057,-0.00057,0.00382,-0.00382
0.925,0.9,0.95,0.04536,0.0005,-0.0005,0.00328,-0.00328
0.975,0.95,1.0,0.03875,0.00042,-0.00042,0.00281,-0.00281
1.05,1.0,1.1,0.03067,0.00027,-0.00027,0.00224,-0.00224
1.15,1.1,1.2,0.02279,0.00022,-0.00022,0.00168,-0.00168
1.25,1.2,1.3,0.01721,0.00021,-0.00021,0.00132,-0.00132
1.35,1.3,1.4,0.01303,0.00017,-0.00017,0.00103,-0.00103
1.45,1.4,1.5,0.01003,0.00014,-0.00014,0.00083,-0.00083
1.55,1.5,1.6,0.007657,7.7e-05,-7.7e-05,0.000472,-0.000472
1.65,1.6,1.7,0.005962,6.2e-05,-6.2e-05,0.000359,-0.000359
1.75,1.7,1.8,0.004715,5.3e-05,-5.3e-05,0.000303,-0.000303
1.85,1.8,1.9,0.003726,4.4e-05,-4.4e-05,0.000235,-0.000235
1.95,1.9,2.0,0.002981,3.7e-05,-3.7e-05,0.000198,-0.000198
2.05,2.0,2.1,0.00241,3.3e-05,-3.3e-05,0.000166,-0.000166
2.1500000000000004,2.1,2.2,0.001903,2.7e-05,-2.7e-05,0.000122,-0.000122
2.25,2.2,2.3,0.001575,2.3e-05,-2.3e-05,0.000118,-0.000118
2.3499999999999996,2.3,2.4,0.00125,1.9e-05,-1.9e-05,9.2e-05,-9.2e-05
2.45,2.4,2.5,0.001032,2e-05,-2e-05,8.5e-05,-8.5e-05
2.55,2.5,2.6,0.0008404,1.66e-05,-1.66e-05,7.22e-05,-7.22e-05
2.6500000000000004,2.6,2.7,0.0006931,1.48e-05,-1.48e-05,6.21e-05,-6.21e-05
2.75,2.7,2.8,0.0005704,1.26e-05,-1.26e-05,5.51e-05,-5.51e-05
2.8499999999999996,2.8,2.9,0.0004834,1.22e-05,-1.22e-05,4.43e-05,-4.43e-05
2.95,2.9,3.0,0.0003966,9.6e-06,-9.6e-06,3.8e-05,-3.8e-05
3.1,3.0,3.2,0.0003055,6e-06,-6e-06,2.79e-05,-2.79e-05
3.3,3.2,3.4,0.0002202,3.8e-06,-3.8e-06,1.89e-05,-1.89e-05
3.5,3.4,3.6,0.0001595,2.4e-06,-2.4e-06,1.37e-05,-1.37e-05
3.7,3.6,3.8,0.0001179,1.1e-06,-1.1e-06,1.29e-05,-1.29e-05
3.9,3.8,4.0,8.672e-05,8.9e-07,-8.9e-07,9.03e-06,-9.03e-06
4.25,4.0,4.5,5.429e-05,4.6e-07,-4.6e-07,5.4e-06,-5.4e-06
4.75,4.5,5.0,2.834e-05,3e-07,-3e-07,2.68e-06,-2.68e-06
5.25,5.0,5.5,1.6e-05,2.1e-07,-2.1e-07,1.5e-06,-1.5e-06
5.75,5.5,6.0,9.574e-06,1.37e-07,-1.37e-07,8.87e-07,-8.87e-07
6.5,6.0,7.0,4.292e-06,3.9e-08,-3.9e-08,4.74e-07,-4.74e-07
7.5,7.0,8.0,1.809e-06,2.3e-08,-2.3e-08,1.99e-07,-1.99e-07
9.0,8.0,10.0,6.273e-07,7.6e-09,-7.6e-09,6.41e-08,-6.41e-08
11.0,10.0,12.0,1.936e-07,3.3e-09,-3.3e-09,1.97e-08,-1.97e-08
13.5,12.0,15.0,5.864e-08,1.13e-09,-1.13e-09,6.01e-09,-6.01e-09
17.5,15.0,20.0,1.356e-08,3.6e-10,-3.6e-10,1.57e-09,-1.57e-09

#: RE,,,P P --> (K+ + K-) X
#: SQRT(S) [TeV],,,7.0
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.225,0.2,0.25,0.3761,0.001,-0.001,0.0277,-0.0277
0.275,0.25,0.3,0.336,0.0007,-0.0007,0.0214,-0.0214
0.32499999999999996,0.3,0.35,0.3033,0.0005,-0.0005,0.0116,-0.0116
0.375,0.35,0.4,0.2626,0.0005,-0.0005,0.0091,-0.0091
0.42500000000000004,0.4,0.45,0.2286,0.0003,-0.0003,0.0095,-0.0095
0.475,0.45,0.5,0.2016,0.0003,-0.0003,0.0088,-0.0088
0.525,0.5,0.55,0.1744,0.0003,-0.0003,0.0079,-0.0079
0.575,0.55,0.6,0.1474,0.0003,-0.0003,0.0087,-0.0087
0.625,0.6,0.65,0.1252,0.0002,-0.0002,0.0076,-0.0076
0.675,0.65,0.7,0.1067,0.0002,-0.0002,0.0065,-0.0065
0.725,0.7,0.75,0.09123,0.00019,-0.00019,0.00551,-0.00551
0.775,0.75,0.8,0.07822,0.00017,-0.00017,0.00464,-0.00464
0.825,0.8,0.85,0.06686,0.00015,-0.00015,0.00395,-0.00395
0.875,0.85,0.9,0.05754,0.00014,-0.00014,0.0034,-0.0034
0.925,0.9,0.95,0.04942,0.00012,-0.00012,0.00291,-0.00291
0.975,0.95,1.0,0.04244,0.00011,-0.00011,0.0025,-0.0025
1.05,1.0,1.1,0.03377,7e-05,-7e-05,0.00199,-0.00199
1.15,1.1,1.2,0.02525,7e-05,-7e-05,0.0015,-0.0015
1.25,1.2,1.3,0.01915,6e-05,-6e-05,0.00116,-0.00116
1.35,1.3,1.4,0.01465,5e-05,-5e-05,0.00089,-0.00089
1.45,1.4,1.5,0.01136,4e-05,-4e-05,0.0007,-0.0007
1.55,1.5,1.6,0.008705,3.2e-05,-3.2e-05,0.000497,-0.000497
1.65,1.6,1.7,0.006869,2.8e-05,-2.8e-05,0.000389,-0.000389
1.75,1.7,1.8,0.005447,2.5e-05,-2.5e-05,0.000314,-0.000314
1.85,1.8,1.9,0.004344,2.2e-05,-2.2e-05,0.000254,-0.000254
1.95,1.9,2.0,0.0035,2e-05,-2e-05,0.000204,-0.000204
2.05,2.0,2.1,0.002801,1.8e-05,-1.8e-05,0.000169,-0.000169
2.1500000000000004,2.1,2.2,0.002261,1.6e-05,-1.6e-05,0.000136,-0.000136
2.25,2.2,2.3,0.001877,1.5e-05,-1.5e-05,0.000116,-0.000116
2.3499999999999996,2.3,2.4,0.001511,1.3e-05,-1.3e-05,9.4e-05,-9.4e-05
2.45,2.4,2.5,0.001255,1.4e-05,-1.4e-05,8.3e-05,-8.3e-05
2.55,2.5,2.6,0.001039,1.3e-05,-1.3e-05,6.8e-05,-6.8e-05
