#: table_doi: 10.17182/hepdata.73749.v1/t9
#: name: Table 9
#: description: pT-differential invariant yield of protons+antiprotons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table9.yaml
#: keyword reactions: P P --> P X | P P --> PBAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (P + PBAR) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.32499999999999996,0.3,0.35,0.09332,0.00154,-0.00154,0.00873,-0.00873
0.375,0.35,0.4,0.08644,0.00113,-0.00113,0.00745,-0.00745
0.42500000000000004,0.4,0.45,0.07896,0.00088,-0.00088,0.00651,-0.00651
0.475,0.45,0.5,0.07242,0.00077,-0.00077,0.00349,-0.00349
0.525,0.5,0.55,0.06528,0.00063,-0.00063,0.00302,-0.00302
0.575,0.55,0.6,0.05791,0.00052,-0.00052,0.00254,-0.00254
0.625,0.6,0.65,0.05211,0.00071,-0.00071,0.00349,-0.00349
0.675,0.65,0.7,0.04592,0.0006,-0.0006,0.00305,-0.00305
0.725,0.7,0.75,0.04077,0.00052,-0.00052,0.00265,-0.00265
0.775,0.75,0.8,0.03654,0.00048,-0.00048,0.00235,-0.00235
0.825,0.8,0.85,0.03221,0.00048,-0.00048,0.00201,-0.00201
0.875,0.85,0.9,0.02854,0.00045,-0.00045,0.00177,-0.00177
0.925,0.9,0.95,0.02499,0.00039,-0.00039,0.00154,-0.00154
0.975,0.95,1.0,0.0218,0.00035,-0.00035,0.00134,-0.00134
1.05,1.0,1.1,0.01786,0.00021,-0.00021,0.0011,-0.0011
1.15,1.1,1.2,0.01369,0.00017,-0.00017,0.00084,-0.00084
1.25,1.2,1.3,0.01059,0.00013,-0.00013,0.00065,-0.00065
1.35,1.3,1.4,0.008147,0.000109,-0.000109,0.0005,-0.0005
1.45,1.4,1.5,0.006386,8.6e-05,-8.6e-05,0.000399,-0.000399
1.55,1.5,1.6,0.004907,5.7e-05,-5.7e-05,0.000289,-0.000289
1.65,1.6,1.7,0.003861,4.6e-05,-4.6e-05,0.000229,-0.000229
1.75,1.7,1.8,0.003046,3.9e-05,-3.9e-05,0.000181,-0.000181
1.85,1.8,1.9,0.0024,3.2e-05,-3.2e-05,0.000142,-0.000142
1.95,1.9,2.0,0.0019,2.6e-05,-2.6e-05,0.000114,-0.000114
2.05,2.0,2.1,0.001517,2.4e-05,-2.4e-05,9.5e-05,-9.5e-05
2.1500000000000004,2.1,2.2,0.001178,1.9e-05,-1.9e-05,7.2e-05,-7.2e-05
2.25,2.2,2.3,0.0009524,1.73e-05,-1.73e-05,5.7e-05,-5.7e-05
2.3499999999999996,2.3,2.4,0.0007697,1.45e-05,-1.45e-05,4.74e-05,-4.74e-05
2.45,2.4,2.5,0.0006073,1.25e-05,-1.25e-05,3.89e-05,-3.89e-05
2.55,2.5,2.6,0.0005042,1.11e-05,-1.11e-05,3.27e-05,-3.27e-05
2.6500000000000004,2.6,2.7,0.00041,9.3e-06,-9.3e-06,2.62e-05,-2.62e-05
