%: table_doi: 10.17182/hepdata.77995.v1/t17
%: name: Table 17
%: description: K$^{*0}$/K ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table17.yaml
%: keyword reactions: P P --> K^*0 X | P P --> anti-K^*0 X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $K^{*0}$ + X; P P $\rightarrow$ $\overline{K^{*0}}$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{(K^{*0}+\overline{K^{*0}})}{(K^{+}+K^{-})}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.3  0.7  0.2235  0.0047178  -0.0047178  0.017768  -0.017768
0.95  0.7  1.2  0.38207  0.0075413  -0.0075413  0.024118  -0.024118
1.4  1.2  1.6  0.47247  0.013063  -0.013063  0.037654  -0.037654
1.8  1.6  2  0.53019  0.017114  -0.017114  0.056116  -0.056116
2.25  2  2.5  0.59872  0.020119  -0.020119  0.064632  -0.064632
2.75  2.5  3  0.76394  0.029232  -0.029232  0.077424  -0.077424
3.25  3  3.5  0.82052  0.039146  -0.039146  0.096205  -0.096205
3.75  3.5  4  0.78841  0.046378  -0.046378  0.1004  -0.1004
4.5  4  5  0.75535  0.041899  -0.041899  0.093559  -0.093559
6  5  7  0.76506  0.048302  -0.048302  0.075559  -0.075559
8.5  7  10  0.61415  0.082398  -0.082398  0.069474  -0.069474
12.5  10  15  0.65931  0.1476  -0.1476  0.073461  -0.073461
17.5  15  20  0.74699  0.13205  -0.13205  0.54059  -0.54059

