%: table_doi: 10.17182/hepdata.77995.v1/t21
%: name: Table 21
%: description: K$^{*0}/\pi$ ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table21.yaml
%: keyword reactions: P P --> K^*0 X | P P --> anti-K^*0 X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $K^{*0}$ + X;  P P $\rightarrow$ $\overline{K^{*0}}$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{(K^{*0}+\overline{K^{*0}})}{(\pi^{+}+\pi^{-})}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.3  0.7  0.029104  0.00061305  -0.00061305  0.0022958  -0.0022958
0.95  0.7  1.2  0.095421  0.0018713  -0.0018713  0.0057389  -0.0057389
1.4  1.2  1.6  0.15591  0.0042458  -0.0042458  0.011455  -0.011455
1.8  1.6  2  0.19341  0.0061789  -0.0061789  0.020135  -0.020135
2.25  2  2.5  0.23827  0.0078635  -0.0078635  0.025233  -0.025233
2.75  2.5  3  0.31324  0.011543  -0.011543  0.030842  -0.030842
3.25  3  3.5  0.34245  0.015409  -0.015409  0.037639  -0.037639
3.75  3.5  4  0.33693  0.019615  -0.019615  0.041207  -0.041207
4.5  4  5  0.34474  0.019026  -0.019026  0.040395  -0.040395
6  5  7  0.37104  0.02331  -0.02331  0.035382  -0.035382
8.5  7  10  0.3022  0.040382  -0.040382  0.032065  -0.032065
12.5  10  15  0.36049  0.080218  -0.080218  0.03881  -0.03881
17.5  15  20  0.33901  0.052084  -0.052084  0.245  -0.245

