%: table_doi: 10.17182/hepdata.77995.v1/t1
%: name: Table 1
%: description: Invariant yield of K$^{*0}$ meson normalized to the number of inelastic pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table1.yaml
%: keyword reactions: P P --> K^*0 X | P P --> anti-K^*0 X
%: keyword phrases: Invariant yield
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $K^{*0}$ + X; P P $\rightarrow$ $\overline{K^{*0}}$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{1}{N_{INEL}}\frac{d^{2}N}{2\pi p_{T} dy dp_{T}} (GeV/c)^{-2}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.1  0  0.2  0.029909  0.0016262  -0.0016262  0.0037924  -0.0037924
0.3  0.2  0.4  0.025563  0.00087297  -0.00087297  0.0030982  -0.0030982
0.5  0.4  0.6  0.018764  0.00054245  -0.00054245  0.0021672  -0.0021672
0.7  0.6  0.8  0.012364  0.00036972  -0.00036972  0.001506  -0.001506
0.9  0.8  1  0.0085808  0.00025962  -0.00025962  0.001221  -0.001221
1.1  1  1.2  0.0053093  0.00016885  -0.00016885  0.00075923  -0.00075923
1.3  1.2  1.4  0.0029835  0.00010776  -0.00010776  0.00042873  -0.00042873
1.5  1.4  1.6  0.0017064  7.012e-05  -7.012e-05  0.0002389  -0.0002389
1.7  1.6  1.8  0.0010973  4.7333e-05  -4.7333e-05  0.00014968  -0.00014968
1.9  1.8  2  0.00069037  3.2416e-05  -3.2416e-05  9.9137e-05  -9.9137e-05
2.25  2  2.5  0.00035892  1.1767e-05  -1.1767e-05  5.2941e-05  -5.2941e-05
2.75  2.5  3  0.00015448  5.5442e-06  -5.5442e-06  2.0963e-05  -2.0963e-05
3.25  3  3.5  6.3613e-05  2.8075e-06  -2.8075e-06  8.5815e-06  -8.5815e-06
3.75  3.5  4  2.6705e-05  1.5336e-06  -1.5336e-06  3.6292e-06  -3.6292e-06
4.25  4  4.5  1.3177e-05  9.1049e-07  -9.1049e-07  2.1137e-06  -2.1137e-06
4.75  4.5  5  6.5145e-06  5.7273e-07  -5.7273e-07  1.0905e-06  -1.0905e-06
5.5  5  6  3.0331e-06  2.3113e-07  -2.3113e-07  4.5648e-07  -4.5648e-07
6.5  6  7  1.075e-06  1.1778e-07  -1.1778e-07  1.7394e-07  -1.7394e-07
7.5  7  8  3.3758e-07  6.5373e-08  -6.5373e-08  5.4317e-08  -5.4317e-08
9  8  10  1.2875e-07  2.3471e-08  -2.3471e-08  2.1206e-08  -2.1206e-08
12.5  10  15  2.0873e-08  4.2807e-09  -4.2807e-09  3.7717e-09  -3.7717e-09

