%: table_doi: 10.17182/hepdata.77995.v1/t26
%: name: Table 26
%: description: p/K$^{*0}$ ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table26.yaml
%: keyword reactions: P P --> K^*0 X | P P --> anti-K^*0 X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $K^{*0}$ + X; P P $\rightarrow$ $\overline{K^{*0}}$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{(p+\overline{p})}{(K^{*0}+\overline{K^{*0}})}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.3  0.7  1.7607  0.037349  -0.037349  0.14364  -0.14364
0.95  0.7  1.2  1.4669  0.02905  -0.02905  0.089439  -0.089439
1.4  1.2  1.6  1.3557  0.037418  -0.037418  0.10268  -0.10268
1.8  1.6  2  1.2474  0.040312  -0.040312  0.13113  -0.13113
2.25  2  2.5  1.0606  0.035709  -0.035709  0.11292  -0.11292
2.75  2.5  3  0.8244  0.031228  -0.031228  0.079962  -0.079962
3.25  3  3.5  0.7158  0.03433  -0.03433  0.081773  -0.081773
3.75  3.5  4  0.65333  0.040221  -0.040221  0.082702  -0.082702
4.5  4  5  0.52389  0.029488  -0.029488  0.072309  -0.072309
6  5  7  0.37365  0.024241  -0.024241  0.042225  -0.042225
8.5  7  10  0.31913  0.044625  -0.044625  0.046244  -0.046244
12.5  10  15  0.21917  0.055608  -0.055608  0.038082  -0.038082

