%: table_doi: 10.17182/hepdata.77995.v1/t29
%: name: Table 29
%: description: p/$\phi$ ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table29.yaml
%: keyword reactions: P P --> Phi X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $\phi$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{(p+\overline{p})}{2\phi}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.4  0.6  4.5173  0.39337  -0.39337  0.2313  -0.2313
0.7  0.6  0.8  4.5775  0.17334  -0.17334  0.20725  -0.20725
0.9  0.8  1  4.3152  0.12697  -0.12697  0.21172  -0.21172
1.1  1  1.2  3.8686  0.11995  -0.11995  0.19402  -0.19402
1.3  1.2  1.4  3.2519  0.12512  -0.12512  0.16657  -0.16657
1.5  1.4  1.6  3.0204  0.17462  -0.17462  0.13817  -0.13817
1.7  1.6  1.8  2.5936  0.18835  -0.18835  0.19439  -0.19439
2  1.8  2.2  2.1057  0.13533  -0.13533  0.21109  -0.21109
2.4  2.2  2.6  2.098  0.15892  -0.15892  0.23931  -0.23931
2.8  2.6  3  1.9845  0.19325  -0.19325  0.22445  -0.22445
3.25  3  3.5  1.4768  0.12095  -0.12095  0.078425  -0.078425
3.75  3.5  4  1.2651  0.13126  -0.13126  0.08342  -0.08342
4.25  4  4.5  1.1842  0.078965  -0.078965  0.16286  -0.16286
4.75  4.5  5  0.9998  0.07813  -0.07813  0.1389  -0.1389
5.5  5  6  0.85841  0.068089  -0.068089  0.12208  -0.12208
6.5  6  7  0.66727  0.068921  -0.068921  0.098972  -0.098972
7.5  7  8  0.52554  0.071323  -0.071323  0.087782  -0.087782
9  8  10  0.54828  0.09348  -0.09348  0.097538  -0.097538
11.5  10  13  0.42296  0.084285  -0.084285  0.080418  -0.080418
14.5  13  16  0.32437  0.13274  -0.13274  0.081984  -0.081984

