%: table_doi: 10.17182/hepdata.77995.v1/t19
%: name: Table 19
%: description: $\phi$/K ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table19.yaml
%: keyword reactions: P P --> Phi X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $\phi$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{2\phi}{(K^{+}+K^{-})}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.4  0.6  0.044313  0.0038589  -0.0038589  0.0040666  -0.0040666
0.7  0.6  0.8  0.052804  0.0019996  -0.0019996  0.0046784  -0.0046784
0.9  0.8  1  0.064541  0.0018991  -0.0018991  0.0058471  -0.0058471
1.1  1  1.2  0.079261  0.0024575  -0.0024575  0.0072276  -0.0072276
1.3  1.2  1.4  0.10009  0.003851  -0.003851  0.009186  -0.009186
1.5  1.4  1.6  0.11127  0.0064329  -0.0064329  0.010314  -0.010314
1.7  1.6  1.8  0.1311  0.0090582  -0.0090582  0.014432  -0.014432
2  1.8  2.2  0.15942  0.010246  -0.010246  0.020508  -0.020508
2.4  2.2  2.6  0.15393  0.01166  -0.01166  0.020999  -0.020999
2.8  2.6  3  0.15255  0.014133  -0.014133  0.020688  -0.020688
3.25  3  3.5  0.18839  0.014107  -0.014107  0.021661  -0.021661
3.75  3.5  4  0.20401  0.017745  -0.017745  0.027102  -0.027102
4.25  4  4.5  0.18445  0.0123  -0.0123  0.023988  -0.023988
4.75  4.5  5  0.19003  0.01485  -0.01485  0.024995  -0.024995
5.5  5  6  0.18667  0.014807  -0.014807  0.025199  -0.025199
6.5  6  7  0.19518  0.019487  -0.019487  0.025672  -0.025672
7.5  7  8  0.21165  0.026536  -0.026536  0.027758  -0.027758
9  8  10  0.17522  0.028127  -0.028127  0.023277  -0.023277
11.5  10  13  0.19746  0.040986  -0.040986  0.026965  -0.026965
14.5  13  16  0.24388  0.083439  -0.083439  0.042437  -0.042437
18.5  16  21  0.22906  0.14947  -0.14947  0.055759  -0.055759

