%: table_doi: 10.17182/hepdata.77995.v1/t23
%: name: Table 23
%: description: $\phi$/$\pi$ ratio as a function of $p_{\rm T}$ for inelastic (INEL) pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table23.yaml
%: keyword reactions: P P --> Phi X
%: keyword phrases: pT differential particle ratio
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $\phi$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{2\phi}{(\pi^{+}+\pi^{-})}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.4  0.6  0.0066214  0.0005766  -0.0005766  0.00057426  -0.00057426
0.7  0.6  0.8  0.010975  0.00041559  -0.00041559  0.00091491  -0.00091491
0.9  0.8  1  0.016492  0.00048527  -0.00048527  0.0014098  -0.0014098
1.1  1  1.2  0.02322  0.00071994  -0.00071994  0.0019995  -0.0019995
1.3  1.2  1.4  0.032239  0.0012405  -0.0012405  0.0027964  -0.0027964
1.5  1.4  1.6  0.038384  0.0022191  -0.0022191  0.0033666  -0.0033666
1.7  1.6  1.8  0.047595  0.0031834  -0.0031834  0.0050409  -0.0050409
2  1.8  2.2  0.061517  0.0039537  -0.0039537  0.0076956  -0.0076956
2.4  2.2  2.6  0.061861  0.0044772  -0.0044772  0.0084393  -0.0084393
2.8  2.6  3  0.063347  0.0054431  -0.0054431  0.0085908  -0.0085908
3.25  3  3.5  0.080109  0.0054961  -0.0054961  0.0077338  -0.0077338
3.75  3.5  4  0.085768  0.006789  -0.006789  0.0090962  -0.0090962
4.25  4  4.5  0.082456  0.0054983  -0.0054983  0.010103  -0.010103
4.75  4.5  5  0.087097  0.0068063  -0.0068063  0.010808  -0.010808
5.5  5  6  0.088064  0.006702  -0.006702  0.011252  -0.011252
6.5  6  7  0.095182  0.0092617  -0.0092617  0.011812  -0.011812
7.5  7  8  0.10575  0.013046  -0.013046  0.013081  -0.013081
9  8  10  0.089544  0.014178  -0.014178  0.011237  -0.011237
11.5  10  13  0.10321  0.021149  -0.021149  0.013358  -0.013358
14.5  13  16  0.12907  0.043398  -0.043398  0.020763  -0.020763
18.5  16  21  0.10207  0.063566  -0.063566  0.023221  -0.023221

