%: table_doi: 10.17182/hepdata.77995.v1/t2
%: name: Table 2
%: description: Invariant yield of $\phi$ meson normalized to the number of inelastic pp collisions at $\sqrt{s}=2.76~{\rm TeV}$.
%: data_file: Table2.yaml
%: keyword reactions: P P --> Phi X
%: keyword phrases: Invariant yield
%: keyword cmenergies: 2760.0
%: RE      P P $\rightarrow$ $\phi$ + X
%: YRAP(CM)      -0.5 TO 0.5
%: TYPE      Inelastic (INEL)
%: SQRT(S) [GEV]      2760.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{1}{N_{INEL}}\frac{d^{2}N}{2\pi p_{T} dy dp_{T}} (GeV/c)^{-2}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.5  0.4  0.6  0.0069549  0.00060164  -0.00060164  0.0005352  -0.0005352
0.7  0.6  0.8  0.0043492  0.00015885  -0.00015885  0.00031811  -0.00031811
0.9  0.8  1  0.0027597  7.6368e-05  -7.6368e-05  0.00020849  -0.00020849
1.1  1  1.2  0.0017959  5.2707e-05  -5.2707e-05  0.00013695  -0.00013695
1.3  1.2  1.4  0.0012406  4.6094e-05  -4.6094e-05  9.5483e-05  -9.5483e-05
1.5  1.4  1.6  0.00078102  4.2366e-05  -4.2366e-05  6.0964e-05  -6.0964e-05
1.7  1.6  1.8  0.000539  3.5646e-05  -3.5646e-05  5.286e-05  -5.286e-05
2  1.8  2.2  0.00028607  1.7473e-05  -1.7473e-05  3.3908e-05  -3.3908e-05
2.4  2.2  2.6  0.00012929  8.6752e-06  -8.6752e-06  1.6267e-05  -1.6267e-05
2.8  2.6  3  5.5126e-05  4.6067e-06  -4.6067e-06  7.1434e-06  -7.1434e-06
3.25  3  3.5  3.0312e-05  1.6896e-06  -1.6896e-06  2.5033e-06  -2.5033e-06
3.75  3.5  4  1.4073e-05  7.2661e-07  -7.2661e-07  1.2307e-06  -1.2307e-06
4.25  4  4.5  6.1332e-06  3.9014e-07  -3.9014e-07  5.0994e-07  -5.0994e-07
4.75  4.5  5  3.2723e-06  2.472e-07  -2.472e-07  2.7958e-07  -2.7958e-07
5.5  5  6  1.3751e-06  1.0097e-07  -1.0097e-07  1.247e-07  -1.247e-07
6.5  6  7  5.1537e-07  4.9078e-08  -4.9078e-08  4.4033e-08  -4.4033e-08
7.5  7  8  2.2973e-07  2.7965e-08  -2.7965e-08  1.9493e-08  -1.9493e-08
9  8  10  6.3681e-08  9.9001e-09  -9.9001e-09  5.5691e-09  -5.5691e-09
11.5  10  13  1.5654e-08  3.1106e-09  -3.1106e-09  1.4558e-09  -1.4558e-09
14.5  13  16  4.2284e-09  1.3699e-09  -1.3699e-09  5.3285e-10  -5.3285e-10
18.5  16  21  7.222e-10  4.3823e-10  -4.3823e-10  1.4381e-10  -1.4381e-10

