%Path: /HepData/9154/d8-x1-y1
%pT-differential invariant yield of charged kaons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one
%Location: Figure 8 (middle)
%ETARAP : -0.8 - 0.8
%RE : P P --> (K+ + K-) X
%SQRT(S) : 5.02 TeV : 7.0 TeV
%x : PT IN GEV
%y : 1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP IN GEV**-2
%xdesc	x	xlow	xhigh	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	
	0.225	0.2	0.25	0.3634	+0.003	-0.003	+0.0334	-0.0334	0.3761	+0.001	-0.001	+0.0277	-0.0277
	0.275	0.25	0.3	0.3234	+0.0021	-0.0021	+0.0215	-0.0215	0.336	+7.0E-4	-7.0E-4	+0.0214	-0.0214
	0.32499999999999996	0.3	0.35	0.2878	+0.0015	-0.0015	+0.0116	-0.0116	0.3033	+5.0E-4	-5.0E-4	+0.0116	-0.0116
	0.375	0.35	0.4	0.2491	+0.0013	-0.0013	+0.0087	-0.0087	0.2626	+5.0E-4	-5.0E-4	+0.0091	-0.0091
	0.42500000000000004	0.4	0.45	0.2162	+0.0011	-0.0011	+0.009	-0.009	0.2286	+3.0E-4	-3.0E-4	+0.0095	-0.0095
	0.475	0.45	0.5	0.1896	+9.0E-4	-9.0E-4	+0.0083	-0.0083	0.2016	+3.0E-4	-3.0E-4	+0.0088	-0.0088
	0.525	0.5	0.55	0.1624	+9.0E-4	-9.0E-4	+0.0074	-0.0074	0.1744	+3.0E-4	-3.0E-4	+0.0079	-0.0079
	0.575	0.55	0.6	0.1378	+0.0013	-0.0013	+0.0093	-0.0093	0.1474	+3.0E-4	-3.0E-4	+0.0087	-0.0087
	0.625	0.6	0.65	0.1177	+0.0011	-0.0011	+0.0084	-0.0084	0.1252	+2.0E-4	-2.0E-4	+0.0076	-0.0076
	0.675	0.65	0.7	0.09992	+9.4E-4	-9.4E-4	+0.00715	-0.00715	0.1067	+2.0E-4	-2.0E-4	+0.0065	-0.0065
	0.725	0.7	0.75	0.0852	+8.6E-4	-8.6E-4	+0.0061	-0.0061	0.09123	+1.9E-4	-1.9E-4	+0.00551	-0.00551
	0.775	0.75	0.8	0.0726	+6.5E-4	-6.5E-4	+0.00522	-0.00522	0.07822	+1.7E-4	-1.7E-4	+0.00464	-0.00464
	0.825	0.8	0.85	0.06185	+5.8E-4	-5.8E-4	+0.00445	-0.00445	0.06686	+1.5E-4	-1.5E-4	+0.00395	-0.00395
	0.875	0.85	0.9	0.05296	+5.7E-4	-5.7E-4	+0.00382	-0.00382	0.05754	+1.4E-4	-1.4E-4	+0.0034	-0.0034
	0.925	0.9	0.95	0.04536	+5.0E-4	-5.0E-4	+0.00328	-0.00328	0.04942	+1.2E-4	-1.2E-4	+0.00291	-0.00291
	0.975	0.95	1.0	0.03875	+4.2E-4	-4.2E-4	+0.00281	-0.00281	0.04244	+1.1E-4	-1.1E-4	+0.0025	-0.0025
	1.05	1.0	1.1	0.03067	+2.7E-4	-2.7E-4	+0.00224	-0.00224	0.03377	+7.0E-5	-7.0E-5	+0.00199	-0.00199
	1.15	1.1	1.2	0.02279	+2.2E-4	-2.2E-4	+0.00168	-0.00168	0.02525	+7.0E-5	-7.0E-5	+0.0015	-0.0015
	1.25	1.2	1.3	0.01721	+2.1E-4	-2.1E-4	+0.00132	-0.00132	0.01915	+6.0E-5	-6.0E-5	+0.00116	-0.00116
	1.35	1.3	1.4	0.01303	+1.7E-4	-1.7E-4	+0.00103	-0.00103	0.01465	+5.0E-5	-5.0E-5	+8.9E-4	-8.9E-4
	1.45	1.4	1.5	0.01003	+1.4E-4	-1.4E-4	+8.3E-4	-8.3E-4	0.01136	+4.0E-5	-4.0E-5	+7.0E-4	-7.0E-4
	1.55	1.5	1.6	0.007657	+7.7E-5	-7.7E-5	+4.72E-4	-4.72E-4	0.008705	+3.2E-5	-3.2E-5	+4.97E-4	-4.97E-4
	1.65	1.6	1.7	0.005962	+6.2E-5	-6.2E-5	+3.59E-4	-3.59E-4	0.006869	+2.8E-5	-2.8E-5	+3.89E-4	-3.89E-4
	1.75	1.7	1.8	0.004715	+5.3E-5	-5.3E-5	+3.03E-4	-3.03E-4	0.005447	+2.5E-5	-2.5E-5	+3.14E-4	-3.14E-4
