%Path: /HepData/8208/d2-x1-y1
%pT-differential production yields of phi mesons in INEL pp collisions at sqrts 7 TeV in |y| < 0.5
%Location: F 6
%ABS(YRAP) : < 0.5
%RE : P P --> PHI X
%SQRT(S) : 7000.0 GeV
%x : PT IN GEV
%y : (1/N(inelastic))*D2(N)/DYRAP/DPT IN GEV**-1
%xdesc	x	xlow	xhigh	y	dy+	dy- (stat)	dy+	dy- (sys)	
	0.45	0.4	0.5	0.02464	+0.00198	-0.00198	+0.00214	-0.00214
	0.55	0.5	0.6	0.02461	+0.00101	-0.00101	+0.00212	-0.00212
	0.65	0.6	0.7	0.02284	+6.4E-4	-6.4E-4	+0.00188	-0.00188
	0.75	0.7	0.8	0.02289	+5.1E-4	-5.1E-4	+0.00195	-0.00195
	0.85	0.8	0.9	0.0202	+4.2E-4	-4.2E-4	+0.00172	-0.00172
	0.95	0.9	1.0	0.01873	+3.8E-4	-3.8E-4	+0.00154	-0.00154
	1.05	1.0	1.1	0.01653	+3.5E-4	-3.5E-4	+0.00138	-0.00138
	1.15	1.1	1.2	0.01502	+3.3E-4	-3.3E-4	+0.00134	-0.00134
	1.25	1.2	1.3	0.01333	+3.2E-4	-3.2E-4	+0.0012	-0.0012
	1.35	1.3	1.4	0.0117	+3.0E-4	-3.0E-4	+0.00115	-0.00115
	1.45	1.4	1.5	0.01003	+2.9E-4	-2.9E-4	+9.2E-4	-9.2E-4
	1.55	1.5	1.6	0.00903	+2.71E-4	-2.71E-4	+9.59E-4	-9.59E-4
	1.65	1.6	1.7	0.007908	+2.5E-4	-2.5E-4	+8.46E-4	-8.46E-4
	1.75	1.7	1.8	0.006922	+2.28E-4	-2.28E-4	+6.97E-4	-6.97E-4
	1.85	1.8	1.9	0.00577	+2.03E-4	-2.03E-4	+5.6E-4	-5.6E-4
	1.95	1.9	2.0	0.004736	+1.75E-4	-1.75E-4	+5.09E-4	-5.09E-4
	2.1	2.0	2.2	0.003904	+1.06E-4	-1.06E-4	+3.67E-4	-3.67E-4
	2.3	2.2	2.4	0.002982	+8.8E-5	-8.8E-5	+2.98E-4	-2.98E-4
	2.5	2.4	2.6	0.002141	+7.0E-5	-7.0E-5	+2.39E-4	-2.39E-4
	2.7	2.6	2.8	0.001679	+6.0E-5	-6.0E-5	+1.63E-4	-1.63E-4
	2.9	2.8	3.0	0.001309	+5.2E-5	-5.2E-5	+1.22E-4	-1.22E-4
	3.25	3.0	3.5	8.073E-4	+2.52E-5	-2.52E-5	+7.05E-5	-7.05E-5
	3.75	3.5	4.0	4.712E-4	+1.86E-5	-1.86E-5	+4.35E-5	-4.35E-5
	4.25	4.0	4.5	2.835E-4	+1.39E-5	-1.39E-5	+2.65E-5	-2.65E-5
	4.75	4.5	5.0	1.751E-4	+1.13E-5	-1.13E-5	+1.77E-5	-1.77E-5
	5.5	5.0	6.0	8.503E-5	+5.45E-6	-5.45E-6	+1.147E-5	-1.147E-5
	
