%Path: /HepData/9154/d7-x1-y1
%pT-differential invariant yield of charged pions in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one
%Location: Figure 8 (left)
%ETARAP : -0.8 - 0.8
%RE : P P --> (PI+ + PI-) X
%SQRT(S) : 5.02 TeV : 7.0 TeV
%x : PT IN GEV
%y : 1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP IN GEV**-2
%xdesc	x	xlow	xhigh	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	
	0.11	0.1	0.12	10.92	+0.02	-0.02	+0.79	-0.79	11.63	+0.01	-0.01	+0.78	-0.78
	0.13	0.12	0.14	9.762	+0.017	-0.017	+0.47	-0.47	10.37	+0.01	-0.01	+0.5	-0.5
	0.15000000000000002	0.14	0.16	8.764	+0.015	-0.015	+0.413	-0.413	9.299	+0.005	-0.005	+0.438	-0.438
	0.16999999999999998	0.16	0.18	7.812	+0.013	-0.013	+0.365	-0.365	8.26	+0.004	-0.004	+0.385	-0.385
	0.19	0.18	0.2	6.914	+0.012	-0.012	+0.324	-0.324	7.29	+0.004	-0.004	+0.341	-0.341
	0.225	0.2	0.25	5.516	+0.006	-0.006	+0.258	-0.258	5.789	+0.002	-0.002	+0.27	-0.27
	0.275	0.25	0.3	4.065	+0.005	-0.005	+0.177	-0.177	4.273	+0.001	-0.001	+0.133	-0.133
	0.32499999999999996	0.3	0.35	3.004	+0.003	-0.003	+0.092	-0.092	3.161	+0.001	-0.001	+0.096	-0.096
	0.375	0.35	0.4	2.248	+0.003	-0.003	+0.068	-0.068	2.368	+0.001	-0.001	+0.071	-0.071
	0.42500000000000004	0.4	0.45	1.7	+0.002	-0.002	+0.05	-0.05	1.795	+0.001	-0.001	+0.053	-0.053
	0.475	0.45	0.5	1.295	+0.002	-0.002	+0.039	-0.039	1.369	+0.001	-0.001	+0.041	-0.041
	0.525	0.5	0.55	0.9997	+0.0016	-0.0016	+0.0298	-0.0298	1.059	+0.0	-0.0	+0.031	-0.031
	0.575	0.55	0.6	0.7777	+0.0013	-0.0013	+0.024	-0.024	0.8259	+4.0E-4	-4.0E-4	+0.0246	-0.0246
	0.625	0.6	0.65	0.6309	+0.0021	-0.0021	+0.0307	-0.0307	0.6794	+8.0E-4	-8.0E-4	+0.033	-0.033
	0.675	0.65	0.7	0.498	+0.0018	-0.0018	+0.0242	-0.0242	0.538	+7.0E-4	-7.0E-4	+0.0261	-0.0261
	0.725	0.7	0.75	0.3973	+0.0015	-0.0015	+0.0194	-0.0194	0.431	+6.0E-4	-6.0E-4	+0.021	-0.021
	0.775	0.75	0.8	0.3204	+0.0013	-0.0013	+0.0156	-0.0156	0.3486	+5.0E-4	-5.0E-4	+0.017	-0.017
	0.825	0.8	0.85	0.2598	+0.0012	-0.0012	+0.0127	-0.0127	0.283	+5.0E-4	-5.0E-4	+0.0138	-0.0138
	0.875	0.85	0.9	0.2126	+0.001	-0.001	+0.0104	-0.0104	0.2323	+4.0E-4	-4.0E-4	+0.0113	-0.0113
	0.925	0.9	0.95	0.1746	+9.0E-4	-9.0E-4	+0.0085	-0.0085	0.1914	+4.0E-4	-4.0E-4	+0.0093	-0.0093
	0.975	0.95	1.0	0.1441	+8.0E-4	-8.0E-4	+0.007	-0.007	0.159	+3.0E-4	-3.0E-4	+0.0077	-0.0077
	1.05	1.0	1.1	0.1092	+4.0E-4	-4.0E-4	+0.0053	-0.0053	0.1208	+2.0E-4	-2.0E-4	+0.0059	-0.0059
	1.15	1.1	1.2	0.07677	+3.4E-4	-3.4E-4	+0.00375	-0.00375	0.08566	+1.6E-4	-1.6E-4	+0.00418	-0.00418
	1.25	1.2	1.3	0.05507	+2.8E-4	-2.8E-4	+0.00271	-0.00271	0.06187	+1.3E-4	-1.3E-4	+0.00303	-0.00303
	1.35	1.3	1.4	0.04011	+2.2E-4	-2.2E-4	+0.00198	-0.00198	0.04537	+1.1E-4	-1.1E-4	+0.00223	-0.00223
	1.45	1.4	1.5	0.0297	+1.8E-4	-1.8E-4	+0.00148	-0.00148	0.03378	+9.0E-5	-9.0E-5	+0.00167	-0.00167
	1.55	1.5	1.6	0.02209	+1.1E-4	-1.1E-4	+0.00108	-0.00108	0.02531	+7.0E-5	-7.0E-5	+0.00124	-0.00124
	1.65	1.6	1.7	0.01678	+1.0E-4	-1.0E-4	+8.3E-4	-8.3E-4	0.01929	+6.0E-5	-6.0E-5	+9.6E-4	-9.6E-4
	1.75	1.7	1.8	0.01284	+8.0E-5	-8.0E-5	+6.5E-4	-6.5E-4	0.01479	+5.0E-5	-5.0E-5	+7.5E-4	-7.5E-4
	1.85	1.8	1.9	0.009903	+6.6E-5	-6.6E-5	+5.15E-4	-5.15E-4	0.01145	+4.0E-5	-4.0E-5	+5.9E-4	-5.9E-4
	1.95	1.9	2.0	0.007683	+5.3E-5	-5.3E-5	+4.1E-4	-4.1E-4	0.008927	+3.3E-5	-3.3E-5	+4.76E-4	-4.76E-4
	2.1	2.0	2.2	0.005328	+2.9E-5	-2.9E-5	+2.84E-4	-2.84E-4	0.006196	+1.7E-5	-1.7E-5	+2.81E-4	-2.81E-4
	2.3	2.2	2.4	0.003389	+2.2E-5	-2.2E-5	+1.92E-4	-1.92E-4	0.003965	+1.3E-5	-1.3E-5	+1.86E-4	-1.86E-4
	2.5	2.4	2.6	0.002188	+1.9E-5	-1.9E-5	+1.42E-4	-1.42E-4	0.002586	+1.1E-5	-1.1E-5	+1.46E-4	-1.46E-4
	2.7	2.6	2.8	0.001433	+1.7E-5	-1.7E-5	+1.04E-4	-1.04E-4	0.001711	+9.0E-6	-9.0E-6	+1.07E-4	-1.07E-4
	2.9	2.8	3.0	9.914E-4	+1.33E-5	-1.33E-5	+7.52E-5	-7.52E-5	0.001184	+7.0E-6	-7.0E-6	+7.5E-5	-7.5E-5
	3.1	3.0	3.2	6.731E-4	+6.7E-6	-6.7E-6	+5.48E-5	-5.48E-5	8.16E-4	+4.0E-6	-4.0E-6	+6.65E-5	-6.65E-5
	3.3	3.2	3.4	4.731E-4	+5.8E-6	-5.8E-6	+3.86E-5	-3.86E-5	5.81E-4	+3.3E-6	-3.3E-6	+4.74E-5	-4.74E-5
	3.5	3.4	3.6	3.393E-4	+4.0E-6	-4.0E-6	+2.76E-5	-2.76E-5	4.191E-4	+2.5E-6	-2.5E-6	+3.41E-5	-3.41E-5
	3.7	3.6	3.8	2.463E-4	+2.9E-6	-2.9E-6	+2.01E-5	-2.01E-5	3.068E-4	+2.1E-6	-2.1E-6	+2.5E-5	-2.5E-5
	3.9	3.8	4.0	1.822E-4	+2.2E-6	-2.2E-6	+1.48E-5	-1.48E-5	2.26E-4	+1.7E-6	-1.7E-6	+1.84E-5	-1.84E-5
	4.25	4.0	4.5	1.1E-4	+6.0E-7	-6.0E-7	+9.0E-6	-9.0E-6	1.387E-4	+1.0E-6	-1.0E-6	+1.13E-5	-1.13E-5
	4.75	4.5	5.0	5.674E-5	+3.3E-7	-3.3E-7	+4.63E-6	-4.63E-6	7.256E-5	+3.5E-7	-3.5E-7	+5.91E-6	-5.91E-6
	5.25	5.0	5.5	3.115E-5	+1.9E-7	-1.9E-7	+2.55E-6	-2.55E-6	4.007E-5	+2.5E-7	-2.5E-7	+3.27E-6	-3.27E-6
	5.75	5.5	6.0	1.805E-5	+1.2E-7	-1.2E-7	+1.48E-6	-1.48E-6	2.347E-5	+1.8E-7	-1.8E-7	+1.91E-6	-1.91E-6
	6.25	6.0	6.5	1.084E-5	+8.0E-8	-8.0E-8	+9.0E-7	-9.0E-7	1.427E-5	+1.3E-7	-1.3E-7	+1.17E-6	-1.17E-6
	6.75	6.5	7.0	6.762E-6	+6.0E-8	-6.0E-8	+5.64E-7	-5.64E-7	8.998E-6	+1.0E-7	-1.0E-7	+7.4E-7	-7.4E-7
