%Path: /HepData/8147/d1-x1-y1
%The measured invariant differential section for inclusive PI0 production at a centre-of-mass energy of 7 TeV
%Location: Fig.3:
%RE : P P --> PI0 X
%SQRT(S) : 7000.0 GeV
%YRAP : 0.0
%x : PT IN GEV
%y : E*D3(SIG)/DP**3 IN MUB/GEV**2
%xdesc	x	xlow	xhigh	y	dy+	(stat) dy- (stat)	dy+ (syst)	dy- (syst)	
	0.35	0.3	0.4	88580.0	+17010.0	-17010.0	+16140.0	-16140.0
	0.449	0.4	0.5	67370.0	+4165.0	-4165.0	+10150.0	-10150.0
	0.549	0.5	0.6	38660.0	+1228.0	-1228.0	+5535.0	-5535.0
	0.694	0.6	0.8	20560.0	+277.0	-277.0	+1955.0	-1955.0
	0.894	0.8	1.0	8903.0	+69.0	-69.0	+800.0	-800.0
	1.095	1.0	1.2	4165.0	+30.0	-30.0	+309.0	-309.0
	1.295	1.2	1.4	2152.0	+15.0	-15.0	+138.0	-138.0
	1.495	1.4	1.6	1187.0	+8.0	-8.0	+60.0	-60.0
	1.696	1.6	1.8	677.7	+4.8	-4.8	+31.4	-31.4
	1.896	1.8	2.0	393.8	+3.1	-3.1	+18.1	-18.1
	2.096	2.0	2.2	241.2	+2.1	-2.1	+10.8	-10.8
	2.296	2.2	2.4	150.2	+1.4	-1.4	+6.6	-6.6
	2.497	2.4	2.6	99.72	+1.07	-1.07	+4.49	-4.49
	2.697	2.6	2.8	67.19	+0.8	-0.8	+3.05	-3.05
	2.897	2.8	3.0	44.36	+0.61	-0.61	+2.08	-2.08
	3.097	3.0	3.2	32.46	+0.48	-0.48	+1.46	-1.46
	3.297	3.2	3.4	21.98	+0.37	-0.37	+0.99	-0.99
	3.497	3.4	3.6	15.97	+0.29	-0.29	+0.77	-0.77
	3.697	3.6	3.8	11.69	+0.24	-0.24	+0.53	-0.53
	3.898	3.8	4.0	8.544	+0.192	-0.192	+0.405	-0.405
	4.236	4.0	4.5	5.376	+0.092	-0.092	+0.236	-0.236
	4.737	4.5	5.0	2.68	+0.06	-0.06	+0.12	-0.12
	5.238	5.0	5.5	1.475	+0.041	-0.041	+0.068	-0.068
	5.739	5.5	6.0	0.9079	+0.0298	-0.0298	+0.0437	-0.0437
	6.461	6.0	7.0	0.42	+0.0136	-0.0136	+0.0209	-0.0209
	7.465	7.0	8.0	0.2057	+0.0085	-0.0085	+0.0114	-0.0114
	8.883	8.0	10.0	0.06003	+0.0029	-0.0029	+0.00331	-0.00331
	10.902	10.0	12.0	0.01891	+0.00142	-0.00142	+0.00101	-0.00101
	12.916	12.0	14.0	0.006357	+8.19E-4	-8.19E-4	+3.51E-4	-3.51E-4
	14.927	14.0	16.0	0.002958	+5.11E-4	-5.11E-4	+8.3E-4	-8.3E-4
	16.935	16.0	18.0	9.478E-4	+2.717E-4	-2.717E-4	+2.58E-4	-2.58E-4
	18.941	18.0	20.0	3.942E-4	+1.735E-4	-1.735E-4	+8.0E-5	-8.0E-5
	22.197	20.0	25.0	2.052E-4	+7.09E-5	-7.09E-5	+2.27E-5	-2.27E-5

