%Path: /HepData/9154/d9-x1-y1
%pT-differential invariant yield of protons+antiprotons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one
%Location: Figure 8 (right)
%ETARAP : -0.8 - 0.8
%RE : P P --> (P + PBAR) X
%SQRT(S) : 5.02 TeV : 7.0 TeV
%x : PT IN GEV
%y : 1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP IN GEV**-2
%xdesc	x	xlow	xhigh	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	
	0.32499999999999996	0.3	0.35	0.09332	+0.00154	-0.00154	+0.00873	-0.00873	0.09574	+4.4E-4	-4.4E-4	+0.00896	-0.00896
	0.375	0.35	0.4	0.08644	+0.00113	-0.00113	+0.00745	-0.00745	0.08927	+3.4E-4	-3.4E-4	+0.0077	-0.0077
	0.42500000000000004	0.4	0.45	0.07896	+8.8E-4	-8.8E-4	+0.00651	-0.00651	0.08188	+2.6E-4	-2.6E-4	+0.00675	-0.00675
	0.475	0.45	0.5	0.07242	+7.7E-4	-7.7E-4	+0.00349	-0.00349	0.07569	+2.5E-4	-2.5E-4	+0.00365	-0.00365
	0.525	0.5	0.55	0.06528	+6.3E-4	-6.3E-4	+0.00302	-0.00302	0.06802	+2.1E-4	-2.1E-4	+0.00315	-0.00315
	0.575	0.55	0.6	0.05791	+5.2E-4	-5.2E-4	+0.00254	-0.00254	0.06073	+1.7E-4	-1.7E-4	+0.00266	-0.00266
	0.625	0.6	0.65	0.05211	+7.1E-4	-7.1E-4	+0.00349	-0.00349	0.05419	+2.5E-4	-2.5E-4	+0.00363	-0.00363
	0.675	0.65	0.7	0.04592	+6.0E-4	-6.0E-4	+0.00305	-0.00305	0.04799	+2.1E-4	-2.1E-4	+0.00319	-0.00319
	0.725	0.7	0.75	0.04077	+5.2E-4	-5.2E-4	+0.00265	-0.00265	0.04266	+1.8E-4	-1.8E-4	+0.00277	-0.00277
	0.775	0.75	0.8	0.03654	+4.8E-4	-4.8E-4	+0.00235	-0.00235	0.03832	+1.7E-4	-1.7E-4	+0.00244	-0.00244
	0.825	0.8	0.85	0.03221	+4.8E-4	-4.8E-4	+0.00201	-0.00201	0.03376	+1.7E-4	-1.7E-4	+0.0021	-0.0021
	0.875	0.85	0.9	0.02854	+4.5E-4	-4.5E-4	+0.00177	-0.00177	0.02998	+1.5E-4	-1.5E-4	+0.00186	-0.00186
	0.925	0.9	0.95	0.02499	+3.9E-4	-3.9E-4	+0.00154	-0.00154	0.02651	+1.4E-4	-1.4E-4	+0.00163	-0.00163
	0.975	0.95	1.0	0.0218	+3.5E-4	-3.5E-4	+0.00134	-0.00134	0.02316	+1.3E-4	-1.3E-4	+0.00142	-0.00142
	1.05	1.0	1.1	0.01786	+2.1E-4	-2.1E-4	+0.0011	-0.0011	0.01921	+8.0E-5	-8.0E-5	+0.00119	-0.00119
	1.15	1.1	1.2	0.01369	+1.7E-4	-1.7E-4	+8.4E-4	-8.4E-4	0.01485	+7.0E-5	-7.0E-5	+9.1E-4	-9.1E-4
	1.25	1.2	1.3	0.01059	+1.3E-4	-1.3E-4	+6.5E-4	-6.5E-4	0.01161	+6.0E-5	-6.0E-5	+7.1E-4	-7.1E-4
	1.35	1.3	1.4	0.008147	+1.09E-4	-1.09E-4	+5.0E-4	-5.0E-4	0.009025	+5.0E-5	-5.0E-5	+5.52E-4	-5.52E-4
	1.45	1.4	1.5	0.006386	+8.6E-5	-8.6E-5	+3.99E-4	-3.99E-4	0.007123	+3.7E-5	-3.7E-5	+4.46E-4	-4.46E-4
	1.55	1.5	1.6	0.004907	+5.7E-5	-5.7E-5	+2.89E-4	-2.89E-4	0.005584	+3.3E-5	-3.3E-5	+3.29E-4	-3.29E-4
	1.65	1.6	1.7	0.003861	+4.6E-5	-4.6E-5	+2.29E-4	-2.29E-4	0.004395	+2.6E-5	-2.6E-5	+2.61E-4	-2.61E-4
	1.75	1.7	1.8	0.003046	+3.9E-5	-3.9E-5	+1.81E-4	-1.81E-4	0.003489	+2.2E-5	-2.2E-5	+2.07E-4	-2.07E-4
	1.85	1.8	1.9	0.0024	+3.2E-5	-3.2E-5	+1.42E-4	-1.42E-4	0.002744	+1.9E-5	-1.9E-5	+1.62E-4	-1.62E-4
	1.95	1.9	2.0	0.0019	+2.6E-5	-2.6E-5	+1.14E-4	-1.14E-4	0.002185	+1.5E-5	-1.5E-5	+1.31E-4	-1.31E-4
	2.05	2.0	2.1	0.001517	+2.4E-5	-2.4E-5	+9.5E-5	-9.5E-5	0.001754	+1.5E-5	-1.5E-5	+1.1E-4	-1.1E-4
	2.1500000000000004	2.1	2.2	0.001178	+1.9E-5	-1.9E-5	+7.2E-5	-7.2E-5	0.001378	+1.3E-5	-1.3E-5	+8.4E-5	-8.4E-5
	2.25	2.2	2.3	9.524E-4	+1.73E-5	-1.73E-5	+5.7E-5	-5.7E-5	0.001109	+1.2E-5	-1.2E-5	+6.6E-5	-6.6E-5
	2.3499999999999996	2.3	2.4	7.697E-4	+1.45E-5	-1.45E-5	+4.74E-5	-4.74E-5	9.058E-4	+1.0E-5	-1.0E-5	+5.57E-5	-5.57E-5
	2.45	2.4	2.5	6.073E-4	+1.25E-5	-1.25E-5	+3.89E-5	-3.89E-5	7.162E-4	+8.6E-6	-8.6E-6	+4.59E-5	-4.59E-5
	2.55	2.5	2.6	5.042E-4	+1.11E-5	-1.11E-5	+3.27E-5	-3.27E-5	6.002E-4	+7.6E-6	-7.6E-6	+3.89E-5	-3.89E-5
	2.6500000000000004	2.6	2.7	4.1E-4	+9.3E-6	-9.3E-6	+2.62E-5	-2.62E-5	4.92E-4	+6.8E-6	-6.8E-6	+3.07E-5	-3.07E-5
	2.75	2.7	2.8	3.396E-4	+8.5E-6	-8.5E-6	+2.3E-5	-2.3E-5	4.05E-4	+5.9E-6	-5.9E-6	+2.67E-5	-2.67E-5
	2.8499999999999996	2.8	2.9	2.802E-4	+7.0E-6	-7.0E-6	+1.84E-5	-1.84E-5	3.409E-4	+5.4E-6	-5.4E-6	+2.17E-5	-2.17E-5
	2.95	2.9	3.0	2.324E-4	+6.4E-6	-6.4E-6	+1.69E-5	-1.69E-5	2.808E-4	+4.7E-6	-4.7E-6	+1.82E-5	-1.82E-5
	3.1	3.0	3.2	1.733E-4	+4.0E-6	-4.0E-6	+1.3E-5	-1.3E-5	2.127E-4	+3.3E-6	-3.3E-6	+1.37E-5	-1.37E-5
	3.3	3.2	3.4	1.162E-4	+2.6E-6	-2.6E-6	+9.9E-6	-9.9E-6	1.441E-4	+2.6E-6	-2.6E-6	+9.8E-6	-9.8E-6
	3.5	3.4	3.6	7.995E-5	+2.0E-6	-2.0E-6	+6.63E-6	-6.63E-6	1.004E-4	+2.3E-6	-2.3E-6	+7.1E-6	-7.1E-6
	3.7	3.6	3.8	5.617E-5	+1.38E-6	-1.38E-6	+4.83E-6	-4.83E-6	7.118E-5	+1.88E-6	-1.88E-6	+5.39E-6	-5.39E-6
	3.9	3.8	4.0	3.932E-5	+1.31E-6	-1.31E-6	+3.42E-6	-3.42E-6	4.91E-5	+1.43E-6	-1.43E-6	+4.14E-6	-4.14E-6
	4.25	4.0	4.5	2.22E-5	+2.7E-7	-2.7E-7	+2.78E-6	-2.78E-6	2.895E-5	+8.1E-7	-8.1E-7	+2.54E-6	-2.54E-6
	4.75	4.5	5.0	1.044E-5	+1.2E-7	-1.2E-7	+1.28E-6	-1.28E-6	1.431E-5	+4.6E-7	-4.6E-7	+1.23E-6	-1.23E-6
	5.25	5.0	5.5	5.069E-6	+1.12E-7	-1.12E-7	+6.22E-7	-6.22E-7	6.847E-6	+4.89E-7	-4.89E-7	+6.04E-7	-6.04E-7
	5.75	5.5	6.0	2.749E-6	+7.0E-8	-7.0E-8	+3.33E-7	-3.33E-7	3.81E-6	+3.61E-7	-3.61E-7	+3.4E-7	-3.4E-7
	6.5	6.0	7.0	1.252E-6	+1.5E-8	-1.5E-8	+1.91E-7	-1.91E-7	1.8E-6	+3.5E-8	-3.5E-8	+2.74E-7	-2.74E-7
	7.5	7.0	8.0	4.447E-7	+8.1E-9	-8.1E-9	+7.32E-8	-7.32E-8	6.583E-7	+2.21E-8	-2.21E-8	+1.084E-7	-1.084E-7
	9.0	8.0	10.0	1.438E-7	+2.5E-9	-2.5E-9	+2.37E-8	-2.37E-8	2.221E-7	+8.4E-9	-8.4E-9	+3.11E-8	-3.11E-8
	11.0	10.0	12.0	3.196E-8	+1.71E-9	-1.71E-9	+5.56E-9	-5.56E-9	4.609E-8	+3.84E-9	-3.84E-9	+6.47E-9	-6.47E-9
	13.5	12.0	15.0	8.117E-9	+3.62E-10	-3.62E-10	+1.882E-9	-1.882E-9	1.345E-8	+1.34E-9	-1.34E-9	+1.88E-9	-1.88E-9
	17.5	15.0	20.0	1.76E-9	+1.98E-10	-1.98E-10	+3.5E-10	-3.5E-10	2.868E-9	+4.49E-10	-4.49E-10	+4.06E-10	-4.06E-10
